"","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","case","death"
"297","2020-12-07",-25,-6,-13,-56,-34,13,6999,109
"298","2020-12-08",-26,-3,-10,-56,-32,13,6987,85
"299","2020-12-09",-27,-6,-12,-55,-33,14,6499,83
"300","2020-12-10",-23,-1,-4,-54,-32,14,5981,89
"301","2020-12-11",-24,-2,-7,-53,-31,14,6295,116
"302","2020-12-12",-26,-1,-13,-48,-10,10,6739,124
"303","2020-12-13",-28,-8,-15,-52,-15,9,6771,142
"304","2020-12-14",-25,-4,-12,-56,-34,14,6710,126
"305","2020-12-15",-24,0,-15,-56,-34,14,6580,94
"306","2020-12-16",-25,-3,-24,-56,-34,14,6731,79
"307","2020-12-17",-23,2,-13,-55,-36,15,6352,104
"308","2020-12-18",-27,-2,-19,-55,-35,16,6416,139
"309","2020-12-19",-26,1,-9,-46,-11,10,7008,116
"310","2020-12-20",-24,-3,13,-48,-13,8,6707,123
"311","2020-12-21",-14,12,-2,-56,-45,15,6895,142
"312","2020-12-22",-13,21,5,-55,-47,15,6693,79
"313","2020-12-23",-7,40,8,-53,-48,15,6381,67
"314","2020-12-24",-22,31,-3,-62,-64,20,6196,93
"315","2020-12-25",-85,-78,-20,-82,-86,29,6845,169
"316","2020-12-26",-59,-40,-15,-64,-41,14,6796,152
"317","2020-12-27",-43,-23,16,-58,-24,10,4092,85
"318","2020-12-28",-36,-10,16,-69,-68,23,8129,167
"319","2020-12-29",-34,-2,20,-65,-59,21,5903,104
"320","2020-12-30",-32,6,-3,-64,-59,21,5790,113
"321","2020-12-31",-28,19,31,-65,-64,21,6441,156
"322","2021-01-01",-74,-67,11,-80,-83,31,7477,94
"323","2021-01-02",-48,-21,6,-60,-29,14,8446,130
"324","2021-01-03",-43,-18,22,-57,-21,10,7512,134
"325","2021-01-04",-38,-10,-2,-62,-44,17,7437,83
"326","2021-01-05",-38,-7,-9,-62,-43,17,7137,40
"327","2021-01-06",-39,-10,0,-61,-42,18,7911,207
"328","2021-01-07",-39,-10,3,-62,-42,18,7447,156
"329","2021-01-08",-42,-14,-11,-62,-40,19,8372,136
"330","2021-01-09",-42,-11,25,-56,-18,12,8340,209
"331","2021-01-10",-43,-16,19,-59,-20,10,8766,127
"332","2021-01-11",-41,-16,-12,-62,-40,17,8665,136
"333","2021-01-12",-41,-13,-10,-62,-40,17,8320,123
"334","2021-01-13",-42,-13,-7,-62,-40,17,6849,116
"335","2021-01-14",-45,-18,-9,-64,-42,18,6287,146
"336","2021-01-15",-45,-17,-12,-64,-41,19,6860,149
"337","2021-01-16",-48,-21,3,-61,-22,13,7565,154
"338","2021-01-17",-46,-21,15,-61,-23,10,6809,192
"339","2021-01-18",-43,-19,-5,-63,-41,16,7063,152
"340","2021-01-19",-44,-17,-10,-63,-41,17,7080,157
"341","2021-01-20",-43,-17,-15,-63,-40,17,5225,80
"342","2021-01-21",-43,-16,-9,-63,-40,17,4679,144
"343","2021-01-22",-44,-17,-15,-63,-39,19,5744,195
"344","2021-01-23",-43,-14,1,-59,-20,12,5955,157
"345","2021-01-24",-47,-22,-9,-63,-23,10,5957,206
